playerID, Last_Name,  First_Name, BH, TH, teamID, Position
sotog002,Soto,Giovanni,L,L,CLE,P
swara001,Swarzak,Anthony,R,R,CLE,P
swisn001,Swisher,Nick,B,L,CLE,OF
tomlj001,Tomlin,Josh,R,R,CLE,P
urshg001,Urshela,Giovanny,R,R,CLE,3B
waltz001,Walters,Zach,B,R,CLE,SS
webbr001,Webb,Ryan,R,R,CLE,P
adamc001,Adames,Cristhian,B,R,COL,SS
arenn001,Arenado,Nolan,R,R,COL,3B
axfoj001,Axford,John,R,R,COL,P
barnb002,Barnes,Brandon,R,R,COL,OF
bergc001,Bergman,Christian,R,R,COL,P
betar001,Betancourt,Rafael,R,R,COL,P
bettc001,Bettis,Chad,R,R,COL,P
blacc001,Blackmon,Charlie,L,L,COL,OF
brotr001,Brothers,Rex,L,L,COL,P
browb005,Brown,Brooks,L,R,COL,P
butle001,Butler,Eddie,R,R,COL,P
castm002,Castro,Miguel,R,R,COL,P
casts002,Castro,Simon,R,R,COL,P
delaj001,de la Rosa,Jorge,L,L,COL,P
descd001,Descalso,Daniel,L,R,COL,2B
diazj006,Diaz,Jairo,R,R,COL,P
dickc002,Dickerson,Corey,L,R,COL,OF
flany001,Flande,Yohan,L,L,COL,P
friec001,Friedrich,Christian,R,L,COL,P
garnd001,Garneau,Dustin,R,R,COL,C
germg001,Germen,Gonzalez,R,R,COL,P
gonzc001,Gonzalez,Carlos,L,L,COL,OF
grayj003,Gray,Jon,R,R,COL,P
gurkj001,Gurka,Jason,L,L,COL,P
haled001,Hale,David,R,R,COL,P
hawkl001,Hawkins,LaTroy,R,R,COL,P
hundn001,Hundley,Nick,R,R,COL,C
kahnt001,Kahnle,Tommy,R,R,COL,P
kendk001,Kendrick,Kyle,R,R,COL,P
laffa001,Laffey,Aaron,L,L,COL,P
lemad001,LeMahieu,DJ,R,R,COL,2B
logab001,Logan,Boone,R,L,COL,P
lylej001,Lyles,Jordan,R,R,COL,P
matzt001,Matzek,Tyler,L,L,COL,P
mcbrm002,McBride,Matt,R,R,COL,OF
mckem001,McKenry,Michael,R,R,COL,C
millj006,Miller,Justin,R,R,COL,P
mornj001,Morneau,Justin,L,R,COL,1B
murpt002,Murphy,Tom,R,R,COL,C
obers001,Oberg,Scott,R,R,COL,P
ottaa001,Ottavino,Adam,L,R,COL,P
parkk001,Parker,Kyle,R,R,COL,OF
paulb001,Paulsen,Ben,L,R,COL,1B
reyej001,Reyes,Jose,B,R,COL,SS
robek002,Roberts,Ken,L,L,COL,P
rondj001,Rondon,Jorge,R,R,COL,P
rosaw001,Rosario,Wilin,R,R,COL,C
rusic001,Rusin,Chris,L,L,COL,P
stubd001,Stubbs,Drew,R,R,COL,OF
tulot001,Tulowitzki,Troy,R,R,COL,SS
ynoar001,Ynoa,Rafael,B,R,COL,2B
albua001,Alburquerque,Al,R,R,DET,P
avila001,Avila,Alex,L,R,DET,C
boydm001,Boyd,Matt,L,L,DET,P
cabrm001,Cabrera,Miguel,R,R,DET,3B
castn001,Castellanos,Nick,R,R,DET,OF
cespy001,Cespedes,Yoenis,R,R,DET,OF
chamj002,Chamberlain,Joba,R,R,DET,P
collt002,Collins,Tyler,L,L,DET,OF
davir003,Davis,Rajai,R,R,DET,OF
farmb001,Farmer,Buck,L,R,DET,P
felin001,Feliz,Neftali,R,R,DET,P
ferrj001,Ferrell,Jeff,R,R,DET,P
field001,Fields,Daniel,L,R,DET,OF
gorzt001,Gorzelanny,Tom,L,L,DET,P
gosea001,Gose,Anthony,L,L,DET,OF
grees005,Greene,Shane,R,R,DET,P
hardb001,Hardy,Blaine,L,L,DET,P
holab001,Holaday,Bryan,R,R,DET,C
iglej001,Iglesias,Jose,R,R,DET,SS
kinsi001,Kinsler,Ian,R,R,DET,SS
knudg001,Knudson,Guido,R,R,DET,P
kraum001,Krauss,Marc,L,R,DET,OF
kroli001,Krol,Ian,L,L,DET,P
lobsk001,Lobstein,Kyle,L,L,DET,P
machd001,Machado,Dixon,R,R,DET,SS
martj007,Marte,Jefry,R,R,DET,3B
martj006,Martinez,J.D.,R,R,DET,OF
martv001,Martinez,Victor,B,R,DET,C
mccaj001,McCann,James,R,R,DET,C
moyas001,Moya,Steven,L,R,DET,OF
nathj001,Nathan,Joe,R,R,DET,P
nesba001,Nesbitt,Angel,R,R,DET,P
norrd002,Norris,Daniel,L,L,DET,P
pereh001,Perez,Hernan,R,R,DET,2B
pricd001,Price,David,L,L,DET,P
romia001,Romine,Andrew,B,R,DET,SS
rondb001,Rondon,Bruce,R,R,DET,P
ryank002,Ryan,Kyle,L,L,DET,P
sanca004,Sanchez,Anibal,R,R,DET,P
simoa001,Simon,Alfredo,R,R,DET,P
sorij001,Soria,Joakim,R,R,DET,P
verhd001,VerHagen,Drew,R,R,DET,P
valdj003,Valdez,Jose,R,R,DET,P
verlj001,Verlander,Justin,R,R,DET,P
wilsa001,Wilson,Alex,R,R,DET,P
wilsj003,Wilson,Josh,R,R,DET,2B
wolfr001,Wolf,Randy,L,L,DET,P
altuj001,Altuve,Jose,R,R,HOU,2B
buchj001,Buchanan,Jake,R,R,HOU,P
cartc002,Carter,Chris,R,R,HOU,OF
castj006,Castro,Jason,L,R,HOU,C
chapk002,Chapman,Kevin,L,L,HOU,P
congh001,Conger,Hank,B,R,HOU,C
corrc001,Correa,Carlos,R,R,HOU,SS
dedus001,Deduno,Samuel,R,R,HOU,P
duffm003,Duffy,Matt,R,R,HOU,3B
felds001,Feldman,Scott,L,R,HOU,P
felim001,Feliz,Michael,R,R,HOU,P
fielj002,Fields,Josh,R,R,HOU,P
fierm001,Fiers,Michael,R,R,HOU,P
gatte001,Gattis,Evan,R,R,HOU,C
gomec002,Gomez,Carlos,R,R,HOU,OF
gonzm002,Gonzalez,Marwin,B,R,HOU,SS
gregl001,Gregerson,Luke,L,R,HOU,P
